Contour,Area,Perimeter,Total Area
0.0000 - 1.0000,18395.19373,3341.817286,115033.4615
1.0000 - 2.0000,19255.07458,3333.339825,96638.26781
2.0000 - 3.0000,15637.59277,2919.393046,77383.19323
3.0000 - 4.0000,11789.09875,2400.904907,61745.60046
4.0000 - 5.0000,10591.08582,1961.952377,49956.50171
5.0000 - 6.0000,8951.715942,1577.624877,39365.41589
6.0000 - 7.0000,7369.330688,1323.623232,30413.69995
7.0000 - 8.0000,7603.864136,1133.441709,23044.36926
8.0000 - 9.0000,9887.866089,853.4270339,15440.50513
9.0000 - 10.0000,5481.252197,392.6376898,5552.639038
10.0000 - 11.0000,71.38684082,53.3215945,71.38684082
