date,depth,calc,chlor,alk
9/20/2022,0,41,7,216
9/20/2022,2,44,8,216
9/20/2022,4,38,8,216
9/20/2022,6,40,13,268
9/20/2022,8,67,10,328
9/20/2022,9,93,10,378
10/13/2022,0,42,8,242
10/13/2022,2,42,8,240
10/13/2022,4,42,8,240
10/13/2022,6,43,8,240
10/13/2022,8,43,8,242
3/25/2023,0,59,8,290
3/25/2023,2,59,8,290
3/25/2023,4,63,8,294
3/25/2023,6,62,8,292
3/25/2023,8,62,8,294
3/25/2023,9,60,8,294
4/10/2023,0,60,,
4/10/2023,2,62,,
4/10/2023,4,61,,
4/10/2023,6,62,,
4/10/2023,8,62,,
4/10/2023,9,64,,
4/30/2023,0,61,8,298
4/30/2023,2,63,8,302
4/30/2023,4,66,8,302
4/30/2023,6,65,8,304
4/30/2023,8,66,8,322
4/30/2023,9,66,8,318
5/16/2023,0,61,8,308
5/16/2023,2,61,8,308
5/16/2023,4,61,8,308
5/16/2023,6,59,8,304
5/16/2023,8,62,9,310
5/16/2023,9,65,9,324
8/24/2023,0,37,8,210
8/24/2023,2,35,8,210
8/24/2023,4,35,8,210
8/24/2023,6,55,8,290
8/24/2023,8,77,8,378
8/24/2023,9,78,8,404
9/2/2023,0,37,8,210
9/2/2023,2,37,8,212
9/2/2023,4,36,8,216
9/2/2023,6,49,8,262
9/2/2023,8,77,8,382
9/2/2023,9,86,6,440
